RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
30-Jun-21,ACT,ACT,170
30-Jun-21,NSW,Central Coast,265
30-Jun-21,NSW,Hunter New England,799
30-Jun-21,NSW,Illawarra Shoalhaven,342
30-Jun-21,NSW,Mid North Coast,151
30-Jun-21,NSW,Murrumbidgee,253
30-Jun-21,NSW,Nepean Blue Mountains,404
30-Jun-21,NSW,North Sydney,767
30-Jun-21,NSW,Northern NSW,219
30-Jun-21,NSW,Other,<11
30-Jun-21,NSW,South Eastern Sydney,451
30-Jun-21,NSW,South Western Sydney,482
30-Jun-21,NSW,Southern NSW,139
30-Jun-21,NSW,Sydney,258
30-Jun-21,NSW,Western NSW,340
30-Jun-21,NSW,Western Sydney,695
30-Jun-21,NT,Central Australia,28
30-Jun-21,NT,Darwin Urban,81
30-Jun-21,NT,Katherine,14
30-Jun-21,NT,Other,<11
30-Jun-21,QLD,Beenleigh,134
30-Jun-21,QLD,Brisbane,342
30-Jun-21,QLD,Bundaberg,64
30-Jun-21,QLD,Caboolture/Strathpine,133
30-Jun-21,QLD,Cairns,56
30-Jun-21,QLD,Ipswich,225
30-Jun-21,QLD,Mackay,29
30-Jun-21,QLD,Maroochydore,117
30-Jun-21,QLD,Maryborough,75
30-Jun-21,QLD,Robina,136
30-Jun-21,QLD,Rockhampton,80
30-Jun-21,QLD,Toowoomba,201
30-Jun-21,QLD,Townsville,58
30-Jun-21,SA,Adelaide Hills,36
30-Jun-21,SA,"Barossa, Light and Lower North",25
30-Jun-21,SA,Eastern Adelaide,157
30-Jun-21,SA,Eyre and Western,30
30-Jun-21,SA,Far North (SA),18
30-Jun-21,SA,Fleurieu and Kangaroo Island,35
30-Jun-21,SA,Limestone Coast,42
30-Jun-21,SA,Murray and Mallee,70
30-Jun-21,SA,Northern Adelaide,552
30-Jun-21,SA,Southern Adelaide,535
30-Jun-21,SA,Western Adelaide,146
30-Jun-21,SA,Yorke and Mid North,29
30-Jun-21,TAS,TAS North,101
30-Jun-21,TAS,TAS North West,98
30-Jun-21,TAS,TAS South East,67
30-Jun-21,TAS,TAS South West,130
30-Jun-21,VIC,Barwon,345
30-Jun-21,VIC,Bayside Peninsula,745
30-Jun-21,VIC,Brimbank Melton,196
30-Jun-21,VIC,Central Highlands,262
30-Jun-21,VIC,Goulburn,93
30-Jun-21,VIC,Hume Moreland,211
30-Jun-21,VIC,Inner East Melbourne,773
30-Jun-21,VIC,Inner Gippsland,132
30-Jun-21,VIC,Loddon,256
30-Jun-21,VIC,Mallee,83
30-Jun-21,VIC,North East Melbourne,713
30-Jun-21,VIC,Outer East Melbourne,467
30-Jun-21,VIC,Outer Gippsland,71
30-Jun-21,VIC,Ovens Murray,142
30-Jun-21,VIC,Southern Melbourne,258
30-Jun-21,VIC,Western District,269
30-Jun-21,VIC,Western Melbourne,279
30-Jun-21,WA,Central North Metro,256
30-Jun-21,WA,Central South Metro,92
30-Jun-21,WA,Great Southern,15
30-Jun-21,WA,Midwest-Gascoyne,19
30-Jun-21,WA,North East Metro,304
30-Jun-21,WA,North Metro,118
30-Jun-21,WA,Other,11
30-Jun-21,WA,South East Metro,231
30-Jun-21,WA,South Metro,72
30-Jun-21,WA,South West,31
31-Mar-21,ACT,ACT,158
31-Mar-21,NSW,Central Coast,265
31-Mar-21,NSW,Hunter New England,803
31-Mar-21,NSW,Illawarra Shoalhaven,339
31-Mar-21,NSW,Mid North Coast,160
31-Mar-21,NSW,Murrumbidgee,254
31-Mar-21,NSW,Nepean Blue Mountains,391
31-Mar-21,NSW,North Sydney,760
31-Mar-21,NSW,Northern NSW,217
31-Mar-21,NSW,Other,<11
31-Mar-21,NSW,South Eastern Sydney,444
31-Mar-21,NSW,South Western Sydney,466
31-Mar-21,NSW,Southern NSW,143
31-Mar-21,NSW,Sydney,256
31-Mar-21,NSW,Western NSW,340
31-Mar-21,NSW,Western Sydney,685
31-Mar-21,NT,Central Australia,32
31-Mar-21,NT,Darwin Urban,79
31-Mar-21,NT,Katherine,15
31-Mar-21,NT,Other,<11
31-Mar-21,QLD,Beenleigh,119
31-Mar-21,QLD,Brisbane,328
31-Mar-21,QLD,Bundaberg,63
31-Mar-21,QLD,Caboolture/Strathpine,127
31-Mar-21,QLD,Cairns,59
31-Mar-21,QLD,Ipswich,221
31-Mar-21,QLD,Mackay,28
31-Mar-21,QLD,Maroochydore,112
31-Mar-21,QLD,Maryborough,70
31-Mar-21,QLD,Robina,123
31-Mar-21,QLD,Rockhampton,88
31-Mar-21,QLD,Toowoomba,202
31-Mar-21,QLD,Townsville,55
31-Mar-21,SA,Adelaide Hills,38
31-Mar-21,SA,"Barossa, Light and Lower North",23
31-Mar-21,SA,Eastern Adelaide,155
31-Mar-21,SA,Eyre and Western,27
31-Mar-21,SA,Far North (SA),20
31-Mar-21,SA,Fleurieu and Kangaroo Island,34
31-Mar-21,SA,Limestone Coast,41
31-Mar-21,SA,Murray and Mallee,70
31-Mar-21,SA,Northern Adelaide,558
31-Mar-21,SA,Southern Adelaide,531
31-Mar-21,SA,Western Adelaide,141
31-Mar-21,SA,Yorke and Mid North,32
31-Mar-21,TAS,TAS North,105
31-Mar-21,TAS,TAS North West,102
31-Mar-21,TAS,TAS South East,63
31-Mar-21,TAS,TAS South West,132
31-Mar-21,VIC,Barwon,330
31-Mar-21,VIC,Bayside Peninsula,742
