RprtDt,StateCd,SrvcDstrctNm,PrtcpntCnt
30-Jun-21,ACT,ACT,464
30-Jun-21,NSW,Central Coast,491
30-Jun-21,NSW,Far West,20
30-Jun-21,NSW,Hunter New England,1689
30-Jun-21,NSW,Illawarra Shoalhaven,520
30-Jun-21,NSW,Mid North Coast,224
30-Jun-21,NSW,Murrumbidgee,359
30-Jun-21,NSW,Nepean Blue Mountains,585
30-Jun-21,NSW,North Sydney,891
30-Jun-21,NSW,Northern NSW,316
30-Jun-21,NSW,Other,<11
30-Jun-21,NSW,South Eastern Sydney,604
30-Jun-21,NSW,South Western Sydney,983
30-Jun-21,NSW,Southern NSW,206
30-Jun-21,NSW,Sydney,419
30-Jun-21,NSW,Western NSW,492
30-Jun-21,NSW,Western Sydney,1107
30-Jun-21,NT,Barkly,11
30-Jun-21,NT,Central Australia,100
30-Jun-21,NT,Darwin Urban,234
30-Jun-21,NT,Katherine,28
30-Jun-21,NT,Other,<11
30-Jun-21,QLD,Beenleigh,465
30-Jun-21,QLD,Brisbane,932
30-Jun-21,QLD,Bundaberg,156
30-Jun-21,QLD,Caboolture/Strathpine,433
30-Jun-21,QLD,Cairns,271
30-Jun-21,QLD,Ipswich,394
30-Jun-21,QLD,Mackay,128
30-Jun-21,QLD,Maroochydore,373
30-Jun-21,QLD,Maryborough,196
30-Jun-21,QLD,Robina,469
30-Jun-21,QLD,Rockhampton,243
30-Jun-21,QLD,Toowoomba,440
30-Jun-21,QLD,Townsville,329
30-Jun-21,SA,Adelaide Hills,62
30-Jun-21,SA,"Barossa, Light and Lower North",46
30-Jun-21,SA,Eastern Adelaide,237
30-Jun-21,SA,Eyre and Western,36
30-Jun-21,SA,Far North (SA),26
30-Jun-21,SA,Fleurieu and Kangaroo Island,47
30-Jun-21,SA,Limestone Coast,79
30-Jun-21,SA,Murray and Mallee,98
30-Jun-21,SA,Northern Adelaide,761
30-Jun-21,SA,Southern Adelaide,706
30-Jun-21,SA,Western Adelaide,195
30-Jun-21,SA,Yorke and Mid North,57
30-Jun-21,TAS,TAS North,205
30-Jun-21,TAS,TAS North West,212
30-Jun-21,TAS,TAS South East,154
30-Jun-21,TAS,TAS South West,340
30-Jun-21,VIC,Barwon,383
30-Jun-21,VIC,Bayside Peninsula,792
30-Jun-21,VIC,Brimbank Melton,191
30-Jun-21,VIC,Central Highlands,261
30-Jun-21,VIC,Goulburn,94
30-Jun-21,VIC,Hume Moreland,216
30-Jun-21,VIC,Inner East Melbourne,705
30-Jun-21,VIC,Inner Gippsland,132
30-Jun-21,VIC,Loddon,237
30-Jun-21,VIC,Mallee,82
30-Jun-21,VIC,North East Melbourne,693
30-Jun-21,VIC,Outer East Melbourne,411
30-Jun-21,VIC,Outer Gippsland,69
30-Jun-21,VIC,Ovens Murray,137
30-Jun-21,VIC,Southern Melbourne,279
30-Jun-21,VIC,Western District,273
30-Jun-21,VIC,Western Melbourne,232
30-Jun-21,WA,Central North Metro,350
30-Jun-21,WA,Central South Metro,246
30-Jun-21,WA,Goldfields-Esperance,28
30-Jun-21,WA,Great Southern,56
30-Jun-21,WA,Kimberley-Pilbara,26
30-Jun-21,WA,Midwest-Gascoyne,32
30-Jun-21,WA,North East Metro,526
30-Jun-21,WA,North Metro,203
30-Jun-21,WA,South East Metro,390
30-Jun-21,WA,South Metro,284
30-Jun-21,WA,South West,126
30-Jun-21,WA,Wheat Belt,23
31-Mar-21,ACT,ACT,457
31-Mar-21,NSW,Central Coast,489
31-Mar-21,NSW,Far West,20
31-Mar-21,NSW,Hunter New England,1676
31-Mar-21,NSW,Illawarra Shoalhaven,506
31-Mar-21,NSW,Mid North Coast,224
31-Mar-21,NSW,Murrumbidgee,358
31-Mar-21,NSW,Nepean Blue Mountains,576
31-Mar-21,NSW,North Sydney,886
31-Mar-21,NSW,Northern NSW,308
31-Mar-21,NSW,South Eastern Sydney,588
31-Mar-21,NSW,South Western Sydney,957
31-Mar-21,NSW,Southern NSW,203
31-Mar-21,NSW,Sydney,415
31-Mar-21,NSW,Western NSW,492
31-Mar-21,NSW,Western Sydney,1095
31-Mar-21,NT,Barkly,12
31-Mar-21,NT,Central Australia,97
31-Mar-21,NT,Darwin Urban,232
31-Mar-21,NT,Katherine,28
31-Mar-21,NT,Other,<11
31-Mar-21,QLD,Beenleigh,441
31-Mar-21,QLD,Brisbane,928
31-Mar-21,QLD,Bundaberg,155
31-Mar-21,QLD,Caboolture/Strathpine,414
31-Mar-21,QLD,Cairns,262
31-Mar-21,QLD,Ipswich,392
31-Mar-21,QLD,Mackay,121
31-Mar-21,QLD,Maroochydore,358
31-Mar-21,QLD,Maryborough,191
31-Mar-21,QLD,Robina,447
31-Mar-21,QLD,Rockhampton,243
31-Mar-21,QLD,Toowoomba,432
31-Mar-21,QLD,Townsville,323
31-Mar-21,SA,Adelaide Hills,63
31-Mar-21,SA,"Barossa, Light and Lower North",43
31-Mar-21,SA,Eastern Adelaide,236
31-Mar-21,SA,Eyre and Western,35
31-Mar-21,SA,Far North (SA),27
31-Mar-21,SA,Fleurieu and Kangaroo Island,48
31-Mar-21,SA,Limestone Coast,75
31-Mar-21,SA,Murray and Mallee,97
31-Mar-21,SA,Northern Adelaide,753
31-Mar-21,SA,Southern Adelaide,700
31-Mar-21,SA,Western Adelaide,188
31-Mar-21,SA,Yorke and Mid North,57
31-Mar-21,TAS,TAS North,207
31-Mar-21,TAS,TAS North West,209
31-Mar-21,TAS,TAS South East,151
31-Mar-21,TAS,TAS South West,340
31-Mar-21,VIC,Barwon,382
31-Mar-21,VIC,Bayside Peninsula,781
31-Mar-21,VIC,Brimbank Melton,190
31-Mar-21,VIC,Central Highlands,258
31-Mar-21,VIC,Goulburn,89
31-Mar-21,VIC,Hume Moreland,202
31-Mar-21,VIC,Inner East Melbourne,700
31-Mar-21,VIC,Inner Gippsland,130
31-Mar-21,VIC,Loddon,237
31-Mar-21,VIC,Mallee,80
31-Mar-21,VIC,North East Melbourne,686
31-Mar-21,VIC,Outer East Melbourne,407
31-Mar-21,VIC,Outer Gippsland,69
31-Mar-21,VIC,Ovens Murray,135
31-Mar-21,VIC,Southern Melbourne,267
31-Mar-21,VIC,Western District,271
31-Mar-21,VIC,Western Melbourne,221
31-Mar-21,WA,Central North Metro,353
31-Mar-21,WA,Central South Metro,235
31-Mar-21,WA,Goldfields-Esperance,28
31-Mar-21,WA,Great Southern,55
31-Mar-21,WA,Kimberley-Pilbara,28
31-Mar-21,WA,Midwest-Gascoyne,32
31-Mar-21,WA,North East Metro,521
31-Mar-21,WA,North Metro,199
31-Mar-21,WA,South East Metro,381
31-Mar-21,WA,South Metro,281
31-Mar-21,WA,South West,124
31-Mar-21,WA,Wheat Belt,24
30-Sep-20,ACT,ACT,423
30-Sep-20,MIS,Other,<11
30-Sep-20,NSW,Central Coast,478
30-Sep-20,NSW,Far West,22
30-Sep-20,NSW,Hunter New England,1647
30-Sep-20,NSW,Illawarra Shoalhaven,478
30-Sep-20,NSW,Mid North Coast,211
