type,id,lat,lon,name
node,145816009,-33.8024058,150.8811355,Red Rooster
node,452375134,-33.7699207,150.6761065,Red Rooster
node,458698853,-33.7549185,150.7072892,Red Rooster
node,1616396566,-34.0713392,150.8095728,Red Rooster
node,1929943238,-34.0501704,150.827128,Red Rooster
node,1974473847,-33.6844541,150.9178057,Red Rooster
node,2131830393,-33.757527,150.8942038,Red Rooster
node,2573959554,-33.8917755,151.0577726,Red Rooster
node,2699627861,-33.6088514,150.8197953,Red Rooster
node,2786901050,-33.7296027,150.9215315,Red Rooster
node,2854455833,-33.901729,150.9998277,Red Rooster
node,3039225306,-33.7462794,150.7396121,Red Rooster
node,4242358913,-33.7708938,150.9085569,El Jannah
node,4265330836,-33.830873,151.2229319,Chargrill Charlie's
node,4376997812,-33.9570001,150.8827556,Red Rooster
node,4546121289,-33.9269319,150.8967552,Red Rooster
node,4925515286,-33.8704331,151.2689317,Chargrill Charlie's
node,5549461749,-33.7654288,150.8259242,Red Rooster
node,6564149151,-33.8866214,151.1374633,Red Rooster
node,7041669323,-33.7525848,151.2879578,Chargrill Charlie's
node,7176946474,-33.7527745,150.694582,El Jannah
node,7259776902,-33.9244531,151.0556127,El Jannah
node,7416146939,-33.7667397,150.9546596,Red Rooster
node,7416147092,-33.7360683,150.8516993,Red Rooster
node,8897439644,-33.889168,151.2748525,Chargrill Charlie's
node,9014012012,-33.8145214,151.1689125,Chargrill Charlie's
node,9219972653,-33.902954,150.896125,Red Rooster
node,na,-33.91089668,151.1566202,ChickenVille
