lon,lat,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.1819129,-33.89569704,Park Tree,Caesalpinia ferrea,Leopard Tree,6,4,3,Tree
151.2163379,-33.87954253,Park Tree,Melaleuca bracteata,River Tea Tree,10,2,3,Tree
151.216234,-33.87944797,Park Tree,Callistemon viminalis,Weeping Bottlebrush,10,5,4,Tree
151.1925297,-33.87924421,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,3,3,Tree
151.1924712,-33.8793273,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,5,4,Tree
151.1847927,-33.88014986,Park Tree,Lophostemon confertus,Brush Box,13,11,8,Tree
151.1846537,-33.8802167,Park Tree,Livistona australis,Cabbage Tree Palm,13,3,3,Tree
151.1846179,-33.88024151,Park Tree,Murraya paniculata,Orange Jessamine,3,3,4,Tree
151.1845869,-33.88025945,Park Tree,Murraya paniculata,Orange Jessamine,3,3,3,Tree
151.1845058,-33.8802349,Park Tree,Celtis australis,Nettle Tree,13,18,18,Tree
151.1841564,-33.87999999,Park Tree,Callistemon citrinus,Willow Bottlebrush,4,5,4,Tree
151.184411,-33.88003079,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,5,8,Tree
151.184786,-33.88001729,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,5,5,Tree
151.1845041,-33.88026472,Park Tree,Callistemon viminalis,Weeping Bottlebrush,5,4,4,Tree
151.1844876,-33.88018828,Park Tree,Callistemon viminalis,Weeping Bottlebrush,5,3,4,Tree
151.1844732,-33.87984198,Park Tree,Callistemon viminalis,Weeping Bottlebrush,7,4,5,Tree
151.1840585,-33.8800311,Park Tree,Tristaniopsis laurina,Water Gum,4,3,2,Tree
151.1840846,-33.88002021,Park Tree,Melaleuca linariifolia,Snow in Summer,4,4,3,Tree
151.1847809,-33.88004797,Park Tree,Callistemon viminalis,Weeping Bottlebrush,3,2,2,Tree
151.2218164,-33.88037857,Park Tree,Corymbia maculata,Spotted Gum,7,2,2,Tree
151.1839083,-33.88057912,Park Tree,Murraya paniculata,Orange Jessamine,2,2,2,Tree
151.1840346,-33.88053968,Park Tree,Murraya paniculata,Orange Jessamine,1,2,2,Tree
151.1840422,-33.88052212,Park Tree,Murraya paniculata,Orange Jessamine,1,3,2,Tree
151.1841167,-33.88050122,Park Tree,Murraya paniculata,Orange Jessamine,1,2,2,Tree
151.1840057,-33.88034999,Park Tree,Murraya paniculata,Orange Jessamine,2,2,3,Tree
151.2208264,-33.8812588,Park Tree,Gleditsia trican Shademaster,Honey Locust,12,10,13,Tree
151.2208167,-33.88108498,Park Tree,Harpulia pendula,Tulipwood,5,2,2,Tree
151.2207673,-33.88107904,Park Tree,Harpulia pendula,Tulipwood,4,3,2,Tree
151.1764265,-33.88069809,Park Tree,Jacaranda mimosifolia,Jacaranda,10,13,12,Tree
151.1764894,-33.88092138,Park Tree,Eucalyptus microcorys,Tallow Wood,15,10,10,Tree
151.212036,-33.86796897,Street Tree,Platanus acerifolia,London Plane,11,7,7,Tree
151.1815765,-33.88153717,Park Tree,Banksia integrifolia,Coastal Banksia,10,9,8,Tree
151.1794769,-33.88353498,Park Tree,Glochidion ferdinandii,Cheese Tree,9,3,5,Tree
151.1796887,-33.88363441,Park Tree,Glochidion ferdinandii,Cheese Tree,8,5,6,Tree
151.179495,-33.88357898,Park Tree,Glochidion ferdinandii,Cheese Tree,7,3,3,Tree
151.1793165,-33.88353964,Park Tree,Glochidion ferdinandii,Cheese Tree,10,6,5,Tree
151.1792817,-33.88353597,Park Tree,Glochidion ferdinandii,Cheese Tree,9,6,4,Tree
151.1760512,-33.88327366,Park Tree,Casuarina cunninghamiana,River She Oak,17,4,4,Tree
151.1762263,-33.88307318,Park Tree,Eucalyptus sideroxylon Rosea,Red Ironbark,10,6,6,Tree
151.1770893,-33.88317631,Park Tree,Syncarpia glomulifera,Turpentine Tree,9,4,3,Tree
151.177758,-33.883255,Park Tree,Casuarina cunninghamiana,River She Oak,17,9,8,Tree
151.1777038,-33.88316962,Park Tree,Eucalyptus crebra,Red Ironbark,9,7,6,Tree
151.178077,-33.88334394,Park Tree,Eucalyptus melliodora,Yellow Box,14,13,9,Tree
151.17829,-33.88348199,Park Tree,Eucalyptus saligna,Sydney Blue Gum,16,15,9,Tree
151.178539,-33.88348901,Park Tree,Angophora floribunda,Rough Barked Apple Myrtle,14,5,8,Tree
151.1786971,-33.88344401,Park Tree,Glochidion ferdinandii,Cheese Tree,11,6,5,Tree
151.178996,-33.88352102,Park Tree,Acmena smithii,Lilly Pilly,8,3,3,Tree
151.1785852,-33.88343298,Park Tree,Elaeocarpus reticulatus,Blueberry Ash,5,2,2,Tree
151.178712,-33.88343765,Park Tree,Melaleuca linariifolia,Snow in Summer,4,2,2,Tree
151.1765382,-33.883042,Park Tree,Ficus macrophylla,Moreton Bay Fig,14,16,17,Tree
151.1781772,-33.88289672,Park Tree,Angophora costata,Sydney Red Gum,9,4,5,Tree
151.1782024,-33.88307005,Park Tree,Eucalyptus botryoides,Swamp Mahogany,10,7,7,Tree
151.1782472,-33.88322238,Park Tree,Eucalyptus botryoides,Swamp Mahogany,11,5,4,Tree
151.178513,-33.88332099,Park Tree,Eucalyptus saligna x botryoid,Wollybutt,13,6,6,Tree
151.1785341,-33.88327,Park Tree,Eucalyptus saligna x botryoid,Sydney Blue Gum,10,7,5,Tree
151.1787167,-33.88333059,Park Tree,Eucalyptus saligna,Sydney Blue Gum,18,7,8,Tree
151.178397,-33.88317401,Park Tree,Eucalyptus pilularis,Blackbutt,7,4,3,Tree
151.178559,-33.88308903,Park Tree,Eucalyptus punctata,Grey Gum,15,9,8,Tree
151.178644,-33.88314502,Park Tree,Eucalyptus punctata,Grey Gum,10,3,4,Tree
151.1786797,-33.88314744,Park Tree,Eucalyptus punctata,Grey Gum,10,5,6,Tree
151.178489,-33.88316202,Park Tree,Eucalyptus punctata,Grey Gum,16,5,4,Tree
151.1767284,-33.88288448,Park Tree,Melaleuca styphelioides,Prickly Paperbark,6,6,6,Tree
151.1791198,-33.88305809,Park Tree,Eucalyptus saligna,Sydney Blue Gum,14,6,8,Tree
