x,y,objectid,asset_id,tree_type,species_name,common_name,tree_height,tree_canopy_ew,tree_canopy_ns,tree_status
151.192424234351,-33.8793656951049,4,TP09960,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,5,5,Tree
151.192506920875,-33.8792692500821,57,TP09958,Park Tree,Lagerstroemia indica,Crepe Myrtle,5,3,4,Tree
151.192423009856,-33.8794237490967,58,TP09961,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,5,5,Tree
151.192457231612,-33.8794517542641,59,TP09962,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,7,8,Tree
151.183412262372,-33.8802988923383,98,TP13785,Park Tree,Jacaranda mimosifolia,Jacaranda,10,12,12,Tree
151.200416455752,-33.8858853297974,174,TS42034,Park Tree,Jacaranda mimosifolia,Jacaranda,5,5,5,Tree
151.200124388397,-33.885902253285,264,TS42094,Park Tree,Jacaranda mimosifolia,Jacaranda,12,10,9,Tree
151.225968610658,-33.8781327152378,277,TP00446,Park Tree,Jacaranda mimosifolia,Jacaranda,13,6,6,Tree
151.19253517731,-33.8792315211353,365,TP09957,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,3,3,Tree
151.192476665449,-33.8793146144682,366,TP09959,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,5,4,Tree
151.176431982459,-33.8806854004556,390,TP13815,Park Tree,Jacaranda mimosifolia,Jacaranda,10,13,12,Tree
151.200624510507,-33.8855493153089,465,TS42052,Park Tree,Jacaranda mimosifolia,Jacaranda,7,5,6,Tree
151.199597448812,-33.8856582968228,470,TS42078,Park Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.210181508711,-33.9070717746722,487,TS35825,Park Tree,Jacaranda mimosifolia,Jacaranda,4,2,1.5,Tree
151.210199839823,-33.9070071159601,488,TS35826,Park Tree,Jacaranda mimosifolia,Jacaranda,4,3,2,Tree
151.204178428436,-33.8971913228691,492,TP06248,Park Tree,Jacaranda mimosifolia,Jacaranda,8,6,8,Tree
151.204415652457,-33.8974968640902,495,TP06256,Park Tree,Jacaranda mimosifolia,Jacaranda,11,7,5,Tree
151.186577473323,-33.9076553080188,528,TP06986,Park Tree,Jacaranda mimosifolia,Jacaranda,4,4,4,Tree
151.186269419227,-33.9076013560052,686,TP06982,Park Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.182120417959,-33.8956103290058,781,TP00018,Park Tree,Jacaranda mimosifolia,Jacaranda,7,3,2,Tree
151.184104687684,-33.8804898094559,810,TP13781,Park Tree,Jacaranda mimosifolia,Jacaranda,15,17,16,Tree
151.179129380952,-33.8826927087769,880,TP15081,Park Tree,Jacaranda mimosifolia,Jacaranda,11,12,11,Tree
151.1925078274,-33.8794979442705,1534,TP11229,Park Tree,Lagerstroemia indica,Crepe Myrtle,3,4,4,Tree
151.176256661962,-33.8825274845273,1677,TP14229,Park Tree,Jacaranda mimosifolia,Jacaranda,9,8,6,Tree
151.19189426475,-33.8833828257134,1707,TP12036,Park Tree,Jacaranda mimosifolia,Jacaranda,8,12,12,Tree
151.213484412047,-33.9024413345574,1978,TS36948,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,1,1,Tree
151.213493385653,-33.9023792447173,1979,TS36950,Park Tree,Lagerstroemia indica,Crepe Myrtle,3,1,1,Tree
151.213517375758,-33.9022453237356,1980,TS36954,Park Tree,Lagerstroemia indica,Crepe Myrtle,4,1,1,Tree
151.211631204168,-33.8870951345587,2043,TS00181,Street Tree,Jacaranda mimosifolia,Jacaranda,13,11,9,Tree
151.218625472794,-33.8842721338571,2044,TS33548,Street Tree,Jacaranda mimosifolia,Jacaranda,7,5,9,Tree
151.216322442454,-33.8838084053908,2055,TS00280,Street Tree,Jacaranda mimosifolia,Jacaranda,7,7,5,Tree
151.176312044341,-33.882434794547,2118,TP14230,Park Tree,Jacaranda mimosifolia,Jacaranda,12,9,8,Tree
151.181566532175,-33.8838349603245,2147,TP13895,Park Tree,Jacaranda mimosifolia,Jacaranda,12,11,12,Tree
151.210138147491,-33.9071335446997,2166,TS35824,Park Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.186872410585,-33.9076903100703,2209,TP06994,Park Tree,Jacaranda mimosifolia,Jacaranda,5,4,5,Tree
151.226384858598,-33.8864060825587,2305,TS00295,Street Tree,Jacaranda mimosifolia,Jacaranda,8,4,5,Tree
151.216255960388,-33.8880872009468,2315,TS00366,Street Tree,Jacaranda mimosifolia,Jacaranda,14,16,15,Tree
151.211023272552,-33.8833335300716,2338,TS00471,Street Tree,Jacaranda mimosifolia,Jacaranda,9,7,6,Tree
151.214673619871,-33.8912645560173,2365,TS00653,Street Tree,Jacaranda mimosifolia,Jacaranda,5,4,3,Tree
151.20771817103,-33.8862551880433,2392,NA,Street Tree,Lagerstroemia indica,Crepe Myrtle,4,2,2,Tree
151.185778456516,-33.8919912303466,2404,TS00892,Street Tree,Jacaranda mimosifolia,Jacaranda,8,8,10,Tree
151.199641510635,-33.8858202619499,2421,TS42071,Park Tree,Jacaranda mimosifolia,Jacaranda,8,6,8,Tree
151.226028070183,-33.8781798309933,2440,TP00445,Park Tree,Jacaranda mimosifolia,Jacaranda,13,7,5,Tree
151.216900121751,-33.8873516888196,2517,TS00994,Street Tree,Jacaranda mimosifolia,Jacaranda,12,11,9,Tree
