StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,318,Bean,32405,DAVIS,Johnathan,8,N,N,GRN,The Greens,10782,318,46,547,475,12168,-0.57
ACT,101,Canberra,32402,HOLLO,Tim,3,N,N,GRN,The Greens,17462,340,81,1251,1010,20144,4.59
ACT,102,Fenner,32406,BRADDOCK,Andrew,3,N,N,GRN,The Greens,10952,400,47,519,574,12492,1.42
NSW,103,Banks,32640,DRAGONE,Gianluca,2,N,N,GRN,The Greens,4282,374,20,371,292,5339,0
NSW,104,Barton,32651,PARISSIS,Connor,5,N,N,GRN,The Greens,6341,846,37,491,408,8123,0.2
NSW,105,Bennelong,32585,ZHANG,Qiu Yue,4,N,N,GRN,The Greens,7422,548,27,479,640,9116,0.34
NSW,106,Berowra,32707,TAN,Monica,1,N,N,GRN,The Greens,9181,712,26,589,649,11157,0.38
NSW,107,Blaxland,32612,ROONEY,James,5,N,N,GRN,The Greens,3469,330,27,267,236,4329,0.73
NSW,108,Bradfield,32639,ADAMS,Tony,1,N,N,GRN,The Greens,10866,792,34,683,802,13177,2.03
NSW,109,Calare,32591,LUKE,Stephanie,7,N,N,GRN,The Greens,5455,333,17,290,220,6315,-1.16
NSW,111,Chifley,32620,ROBERTSON,Brent John,4,N,N,GRN,The Greens,3752,396,34,250,172,4604,0.52
NSW,112,Cook,32621,DOIG,Jon,5,N,N,GRN,The Greens,5222,456,30,376,322,6406,0.03
NSW,113,Cowper,33233,EDWARDS,Lauren,6,N,N,GRN,The Greens,5312,337,35,358,222,6264,-0.73
NSW,114,Cunningham,32581,HUXTABLE,Rowan,2,N,N,GRN,The Greens,13288,768,52,570,518,15196,0.44
NSW,115,Dobell,32576,RICKARD,Scott,4,N,N,GRN,The Greens,6318,582,34,323,322,7579,1.67
NSW,117,Eden-Monaro,32687,McGINLAY,Pat,3,N,N,GRN,The Greens,7191,282,24,768,450,8715,1.18
NSW,118,Farrer,32880,MOSS,Dean,9,N,N,GRN,The Greens,3820,123,17,349,220,4529,-3.56
NSW,119,Fowler,32646,LEE,Seamus,4,N,N,GRN,The Greens,3667,368,31,303,264,4633,-0.67
NSW,120,Gilmore,33541,McCALLUM,Carmel Mary,1,N,N,GRN,The Greens,9027,544,33,663,473,10740,-0.52
NSW,121,Grayndler,32596,CASEY,Jim,4,N,N,GRN,The Greens,17721,1585,104,1105,1092,21607,0.31
NSW,122,Greenway,32747,ATKINS,Damien,2,N,N,GRN,The Greens,4197,435,26,326,272,5256,1.74
NSW,124,Hughes,32625,SHAKESPEARE,Mitchell,2,N,N,GRN,The Greens,5482,521,19,327,282,6631,-0.43
NSW,125,Hume,32582,POWELL,David,5,N,N,GRN,The Greens,4107,484,13,350,270,5224,-1.51
NSW,126,Hunter,32572,MURRAY,Janet,5,N,N,GRN,The Greens,5773,511,21,426,276,7007,-0.22
NSW,127,Kingsford Smith,32599,CRUZ,James,1,N,N,GRN,The Greens,9350,822,34,640,572,11418,1.57
NSW,128,Lindsay,32675,BEST,Nick,4,N,N,GRN,The Greens,3962,329,31,231,228,4781,1.33
NSW,130,Lyne,33338,WATSON,Stuart,9,N,N,GRN,The Greens,5480,496,10,350,253,6589,-2.93
NSW,131,Macarthur,32611,RIVERA,Jayden,7,N,N,GRN,The Greens,3617,381,33,200,166,4397,0.15
NSW,132,Mackellar,32682,WAWN,Pru,4,N,N,GRN,The Greens,9308,799,46,577,553,11283,-2.57
NSW,133,Macquarie,32698,LIU,Kingsley,2,N,N,GRN,The Greens,7522,552,27,375,394,8870,-2.07
NSW,315,McMahon,32724,O'NEILL,Astrid,5,N,N,GRN,The Greens,3317,421,26,266,188,4218,-0.48
NSW,134,Mitchell,32590,MURPHY,Lawrence,5,N,N,GRN,The Greens,6439,548,22,446,500,7955,0.08
NSW,135,New England,32567,LONERGAN,Tony,5,N,N,GRN,The Greens,3617,253,17,254,170,4311,1.51
NSW,136,Newcastle,32709,MACKENZIE,John,2,N,N,GRN,The Greens,13962,787,66,660,563,16038,1.9
NSW,137,North Sydney,32660,KEOGH,Daniel,4,N,N,GRN,The Greens,10573,879,42,765,934,13193,0.6
NSW,138,Page,32716,REID,Dan,5,N,N,GRN,The Greens,10910,515,58,644,507,12634,0.54
NSW,139,Parkes,32561,PAULL,David,3,N,N,GRN,The Greens,3269,249,11,255,137,3921,-2.08
NSW,140,Parramatta,32642,BRADLEY,Phil,4,N,N,GRN,The Greens,4717,577,19,453,365,6131,0.36
NSW,249,Paterson,32573,DAVIS,Jan,5,N,N,GRN,The Greens,6376,460,29,328,246,7439,1.11
NSW,144,Reid,32619,JAGO,Charles,2,N,N,GRN,The Greens,5757,575,25,671,547,7575,-0.39
NSW,145,Richmond,32663,LYON,Michael,8,N,N,GRN,The Greens,17738,528,60,1406,652,20384,-0.12
NSW,250,Riverina,32633,BAYLES,Michael,2,N,N,GRN,The Greens,5348,263,23,367,253,6254,1.71
NSW,146,Robertson,32670,CONNOR,Cath,6,N,N,GRN,The Greens,6248,544,27,461,321,7601,-0.44
NSW,148,Shortland,32594,CAMPBELL,Wylie,5,N,N,GRN,The Greens,6958,624,39,332,303,8256,-1.2
NSW,149,Sydney,32605,THOMPSON,Matthew,5,N,N,GRN,The Greens,13278,1439,98,1250,1069,17134,-0.74
NSW,151,Warringah,32564,GLANVILLE,Kristyn,10,N,N,GRN,The Greens,4466,483,21,365,312,5647,-6.06
NSW,251,Watson,33379,de BHALDRAITHE,Emmet,4,N,N,GRN,The Greens,4793,527,27,374,261,5982,0.43
NSW,152,Wentworth,32677,KANAK,Dominic Wy,6,N,N,GRN,The Greens,5284,493,30,491,461,6759,-7.33
NSW,153,Werriwa,32562,WESTERBERG,Signe,3,N,N,GRN,The Greens,4053,456,31,304,216,5060,0.77
NSW,150,Whitlam,32595,DIXON,Jamie,5,N,N,GRN,The Greens,8215,561,35,357,293,9461,0.92
NT,306,Lingiari,33034,HANNA,George,2,N,N,GRN,The Greens,3441,119,10,301,120,3991,0.5
NT,307,Solomon,33031,PARISH,Timothy,4,N,N,GRN,The Greens,5622,142,17,502,238,6521,1.58
QLD,304,Blair,33264,DUNCAN,Michelle,8,N,N,GRN,The Greens,6727,521,56,432,589,8325,1.97
QLD,310,Bonner,33117,BELL,Barbara,2,N,N,GRN,The Greens,8685,787,37,351,1150,11010,2.22
QLD,155,Bowman,33187,MOON,Emerald,1,N,N,GRN,The Greens,9826,504,35,445,985,11795,2.23
QLD,156,Brisbane,33144,BARTLETT,Andrew,4,N,N,GRN,The Greens,17247,1743,112,1516,2189,22807,2.94
QLD,157,Capricornia,33146,BAMBRICK,Paul,1,N,N,GRN,The Greens,3690,191,11,150,265,4307,0.12
QLD,158,Dawson,33250,LINDENBERG,Imogen,7,N,N,GRN,The Greens,3289,236,9,220,255,4009,-0.65
QLD,252,Dickson,33217,COYNE,Benedict,1,N,N,GRN,The Greens,7732,610,33,364,936,9675,0.13
QLD,159,Fadden,33147,TURNER,Scott,5,N,N,GRN,The Greens,6872,634,54,449,738,8747,1.39
QLD,160,Fairfax,33198,ETHERIDGE,Sue,3,N,N,GRN,The Greens,10185,676,31,585,814,12291,-0.07
QLD,161,Fisher,33150,BURTON,Tracy,3,N,N,GRN,The Greens,9934,660,39,733,923,12289,0.11
QLD,311,Flynn,33192,BAKER,Jaiben,3,N,N,GRN,The Greens,2150,212,8,171,203,2744,0.3
QLD,162,Forde,33173,PETERSEN,Kirsty,2,N,N,GRN,The Greens,6016,630,41,472,828,7987,2.3
QLD,163,Griffith,33167,CHANDLER-MATHER,Max,3,N,N,GRN,The Greens,19077,1438,110,1173,1764,23562,6.67
QLD,164,Groom,33170,NELLIGAN,Alyce,1,N,N,GRN,The Greens,6330,302,40,278,648,7598,1.8
