order,location,y,x
1,Petersham,-33.89493316,151.153364
2,Surry Hills,-33.89080103,151.2137604
3,Darlinghurst,-33.88043102,151.222316
4,Bondi,-33.89509914,151.2717811
5,Darlinghurst,-33.88432215,151.2181007
6,Glebe,-33.87706624,151.1817081
7,Paddington,-33.88321725,151.232611
8,Surry Hills,-33.88505688,151.214613
9,Tamarama,-33.89930406,151.2702199
10,Paddington,-33.883612,151.2264
11,Bondi Beach,-33.88888963,151.2740135
12,Paddington,-33.885,151.2268
13,Bondi Beach,-33.88951153,151.2801306
14,Bondi,-33.89526043,151.2685341
15,Newtown,-33.90083642,151.1806759
16,Marrickville,-33.90218278,151.1662323
17,Marrickville,-33.91128363,151.1556483
