X,Y,OBJECTID,asset_id,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.1840993,-33.8805025,35,TP13781,Park Tree,Jacaranda mimosifolia,Jacaranda,15,17,16,Tree
151.1834068,-33.88031158,36,TP13785,Park Tree,Jacaranda mimosifolia,Jacaranda,10,12,12,Tree
151.1791403,-33.88269743,139,TP15081,Park Tree,Jacaranda mimosifolia,Jacaranda,11,12,11,Tree
151.182115,-33.89562302,146,TP00018,Park Tree,Jacaranda mimosifolia,Jacaranda,7,3,2,Tree
151.1763066,-33.88244748,312,TP14230,Park Tree,Jacaranda mimosifolia,Jacaranda,12,9,8,Tree
151.1918888,-33.88339551,392,TP12036,Park Tree,Jacaranda mimosifolia,Jacaranda,8,10,10,Tree
151.1762512,-33.88254017,403,TP14229,Park Tree,Jacaranda mimosifolia,Jacaranda,9,8,6,Tree
151.2006191,-33.885562,468,TS42052,Park Tree,Jacaranda mimosifolia,Jacaranda,7,5,6,Tree
151.199592,-33.88567098,477,TS42078,Park Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.2259632,-33.8781454,510,TP00446,Park Tree,Jacaranda mimosifolia,Jacaranda,13,6,6,Tree
151.200411,-33.88589802,539,TS42034,Park Tree,Jacaranda mimosifolia,Jacaranda,5,5,5,Tree
151.1996361,-33.88583295,544,TS42071,Park Tree,Jacaranda mimosifolia,Jacaranda,8,6,8,Tree
151.1815611,-33.88384765,552,TP13895,Park Tree,Jacaranda mimosifolia,Jacaranda,12,11,12,Tree
151.2260252,-33.87819616,569,TP00445,Park Tree,Jacaranda mimosifolia,Jacaranda,13,7,5,Tree
151.2101327,-33.90714623,604,TS35824,Park Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.186572,-33.907668,654,TP06986,Park Tree,Jacaranda mimosifolia,Jacaranda,4,4,4,Tree
151.2101761,-33.90708446,666,TS35825,Park Tree,Jacaranda mimosifolia,Jacaranda,4,2,1.5,Tree
151.2101944,-33.9070198,667,TS35826,Park Tree,Jacaranda mimosifolia,Jacaranda,4,3,2,Tree
151.186011,-33.90756505,775,TP06978,Park Tree,Jacaranda mimosifolia,Jacaranda,5,5,4,Tree
151.186151,-33.90757604,776,TP06980,Park Tree,Jacaranda mimosifolia,Jacaranda,5,4,4,Tree
151.186264,-33.90761404,796,TP06982,Park Tree,Jacaranda mimosifolia,Jacaranda,5,3,3,Tree
151.1864269,-33.90763601,798,TP06984,Park Tree,Jacaranda mimosifolia,Jacaranda,4,4,3,Tree
151.186867,-33.907703,805,TP06994,Park Tree,Jacaranda mimosifolia,Jacaranda,5,4,5,Tree
151.1764265,-33.88069809,1764,TP13815,Park Tree,Jacaranda mimosifolia,Jacaranda,10,13,12,Tree
