SA4,type,factor
Sydney - Baulkham Hills and Hawkesbury,a11,1.05
Sydney - Blacktown,a11,1
Sydney - City and Inner South,a11,1.2
Sydney - Eastern Suburbs,a11,1.18
Sydney - Inner South West,a11,1.03
Sydney - Inner West,a11,1.18
Sydney - North Sydney and Hornsby,a11,1.08
Sydney - Northern Beaches,a11,1.03
Sydney - Outer South West,a11,1.04
Sydney - Outer West and Blue Mountains,a11,1.04
Sydney - Parramatta,a11,1.02
Sydney - Ryde,a11,1.03
Sydney - South West,a11,1
Sydney - Sutherland,a11,1.02
Sydney - Baulkham Hills and Hawkesbury,a21,1.05
Sydney - Blacktown,a21,1
Sydney - City and Inner South,a21,1.18
Sydney - Eastern Suburbs,a21,1.16
Sydney - Inner South West,a21,1.02
Sydney - Inner West,a21,1.17
Sydney - North Sydney and Hornsby,a21,1.08
Sydney - Northern Beaches,a21,1.03
Sydney - Outer South West,a21,1.04
Sydney - Outer West and Blue Mountains,a21,1.04
Sydney - Parramatta,a21,1.01
Sydney - Ryde,a21,1.03
Sydney - South West,a21,1
Sydney - Sutherland,a21,1.02
Sydney - Baulkham Hills and Hawkesbury,a22,1.05
Sydney - Blacktown,a22,1
Sydney - City and Inner South,a22,1.18
Sydney - Eastern Suburbs,a22,1.16
Sydney - Inner South West,a22,1.02
Sydney - Inner West,a22,1.17
Sydney - North Sydney and Hornsby,a22,1.08
Sydney - Northern Beaches,a22,1.03
Sydney - Outer South West,a22,1.04
Sydney - Outer West and Blue Mountains,a22,1.04
Sydney - Parramatta,a22,1.01
Sydney - Ryde,a22,1.03
Sydney - South West,a22,1
Sydney - Sutherland,a22,1.02
Sydney - Baulkham Hills and Hawkesbury,a32,1.06
Sydney - Blacktown,a32,1
Sydney - City and Inner South,a32,1.16
Sydney - Eastern Suburbs,a32,1.15
Sydney - Inner South West,a32,1.02
Sydney - Inner West,a32,1.16
Sydney - North Sydney and Hornsby,a32,1.08
Sydney - Northern Beaches,a32,1.02
Sydney - Outer South West,a32,1.05
Sydney - Outer West and Blue Mountains,a32,1.05
Sydney - Parramatta,a32,1.01
Sydney - Ryde,a32,1.02
Sydney - South West,a32,1
Sydney - Sutherland,a32,1.02
Sydney - Baulkham Hills and Hawkesbury,average,1.09
Sydney - Blacktown,average,1.02
Sydney - City and Inner South,average,1.89
Sydney - Eastern Suburbs,average,1.75
Sydney - Inner South West,average,1.17
Sydney - Inner West,average,1.45
Sydney - North Sydney and Hornsby,average,1.29
