X,Y,TreeType,SpeciesName,CommonName,TreeHeight,TreeCanopyEW,TreeCanopyNS,Tree_Status
151.197293,-33.90086049,Park Tree,Ficus macrophylla,Moreton Bay Fig,27,20,20,Tree
151.2094669,-33.90465569,Park Tree,Ficus macrophylla,Moreton Bay Fig,26,20,18,Tree
151.20582,-33.90094795,Park Tree,Ficus macrophylla,Moreton Bay Fig,26,20,20,Tree
151.2098258,-33.86330029,Park Tree,Ficus macrophylla,Moreton Bay Fig,26,32,36,Tree
151.205879,-33.90052292,Park Tree,Ficus macrophylla,Moreton Bay Fig,25,25,25,Tree
151.2069199,-33.89413303,Park Tree,Ficus macrophylla,Moreton Bay Fig,25,40,30,Tree
151.2270348,-33.87246179,Street Tree,Ficus macrophylla,Moreton Bay Fig,25,34,32,Tree
151.2139258,-33.87265812,Park Tree,Ficus macrophylla,Moreton Bay Fig,24,25,30,Tree
151.198129,-33.89924103,Park Tree,Ficus macrophylla,Moreton Bay Fig,24,16,14,Tree
151.197765,-33.89934978,Park Tree,Ficus macrophylla,Moreton Bay Fig,23,12,12,Tree
151.206897,-33.89427806,Park Tree,Ficus macrophylla,Moreton Bay Fig,23,40,30,Tree
151.214245,-33.87317196,Park Tree,Ficus macrophylla,Moreton Bay Fig,23,25,25,Tree
151.199214,-33.90005196,Park Tree,Ficus macrophylla,Moreton Bay Fig,23,10,12,Tree
151.205445,-33.89420199,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,20,25,Tree
151.1797834,-33.87170323,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,38,41,Tree
151.1801908,-33.87147957,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,37,38,Tree
151.179921,-33.87294298,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,43,37,Tree
151.2037953,-33.88777172,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,44,40,Tree
151.215234,-33.87284345,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,25,25,Tree
151.219858,-33.87990897,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,16,19,Tree
151.2054889,-33.900279,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,20,20,Tree
151.2097877,-33.87571602,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,30,15,Tree
151.1990705,-33.90045619,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,18,20,Tree
151.2151605,-33.87284275,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,25,25,Tree
151.2104756,-33.87063171,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,42,40,Tree
151.205304,-33.89428696,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,30,35,Tree
151.1798969,-33.87333254,Park Tree,Ficus macrophylla,Moreton Bay Fig,22,34,41,Tree
151.19747,-33.89974159,Park Tree,Ficus macrophylla,Moreton Bay Fig,21,19,18,Tree
151.205221,-33.88938101,Park Tree,Ficus macrophylla,Moreton Bay Fig,21,20,26,Tree
151.2044761,-33.88925698,Park Tree,Ficus macrophylla,Moreton Bay Fig,21,28,40,Tree
151.2218488,-33.88387365,Street Tree,Ficus macrophylla,Moreton Bay Fig,21,22,19,Tree
