SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_south_asian,area_diff
Wentworthville - Westmead,15599,7133,534,7667,0.49150586576062566,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.41421065971110294
Pendle Hill - Girraween,12842,5749,470,6219,0.48427036287182684,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.4069751568223041
Parramatta - Rosehill,29243,12379,1053,13432,0.4593235988099716,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.38202839276044886
Auburn - North,11325,3869,366,4235,0.3739514348785872,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.29665622882906445
Lakemba,17019,5392,564,5956,0.34996180739173866,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.27266660134221593
Northmead,20383,6459,470,6929,0.3399401462002649,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.2626449401507422
Homebush,16211,4935,352,5287,0.3261365739312812,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,0.24884136788175848
Wiley Park,10217,2890,334,3224,0.31555251052167954,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.23825730447215682
Blacktown (East) - Kings Park,16920,4719,577,5296,0.31300236406619386,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.23570715801667114
Glenwood,16128,4318,531,4849,0.30065724206349204,Blacktown - North,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.2233620360139693
Acacia Gardens,3796,892,97,989,0.26053740779768175,Blacktown - North,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.18324220174815903
Seven Hills - Toongabbie,23920,5384,584,5968,0.24949832775919734,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.1722031217096746
Parklea - Kellyville Ridge,32645,7148,744,7892,0.241752182570072,Blacktown - North,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.1644569765205493
Quakers Hill,22945,4679,544,5223,0.22763129222052736,Blacktown - North,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.15033608617100463
Macquarie Fields - Glenfield,23556,4865,425,5290,0.22457123450500935,Campbelltown (NSW),Sydney - Outer South West,Greater Sydney,4495958,0.07729520604952271,0.14727602845548665
Toongabbie - Constitution Hill,21936,4482,428,4910,0.22383296863603208,Parramatta,Sydney - Parramatta,Greater Sydney,4495958,0.07729520604952271,0.14653776258650936
Doonside - Woodcroft,22526,4370,617,4987,0.22138861759744297,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.14409341154792027
Strathfield,25016,5154,345,5499,0.21981931563799167,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.07729520604952271,0.14252410958846895
Kogarah,11315,2291,150,2441,0.21573133009279719,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.07729520604952271,0.1384361240432745
Blacktown (South),12325,2261,322,2583,0.2095740365111562,Blacktown,Sydney - Blacktown,Greater Sydney,4495958,0.07729520604952271,0.13227883046163347
