location_name,SA4,address,latitude,longitude,access,train,ferry,lightrail,bus,taxi,regional_coach,regional_train,coach
Abbotsford Wharf,Sydney - Inner West,"Great North Rd, Abbotsford NSW 2046",-33.843674,151.128173,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Aberdeen Station,Outer,"Macqueen St, Aberdeen NSW 2336",-32.167104,150.892052,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Adamstown Station,Outer,"Park Ave, Adamstown NSW 2289",-32.93373,151.720081,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Albion Park Station,Outer,"Princes Hwy, Albion Park Rail NSW 2527",-34.562647,150.7985,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Albury Station,Outer,"Railway Pl, East Albury NSW 2640",-36.084068,146.924691,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Allawah Station,Sydney - Inner South West,"Railway Pde, Allawah NSW 2218",-33.969584,151.11433,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Arlington Light Rail,Sydney - Inner West,"Constitution Rd, Dulwich Hill NSW 2203",-33.901841,151.138061,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Armidale Station,Outer,"Brown St, Armidale NSW 2350",-30.515373,151.651753,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Arncliffe Station,Sydney - Inner South West,"Firth St, Arncliffe NSW 2205",-33.936456,151.1473,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Artarmon Station,Sydney - North Sydney and Hornsby,"Hampden Rd, Artarmon NSW 2064",-33.808903,151.185294,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Ashfield Station,Sydney - Inner West,"Brown St, Ashfield NSW 2131",-33.887551,151.125504,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Auburn Station,Sydney - Parramatta,"Rawson St, Auburn NSW 2144",-33.84927,151.032867,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Balmain East Wharf,Sydney - Inner West,"Darling St, Balmain East NSW 2041",-33.856967,151.195976,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Balmain Wharf,Sydney - Inner West,"Thames St, Balmain NSW 2041",-33.854716,151.18636,wheelchair_access,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bankstown Station,Sydney - Inner South West,"North Tce, Bankstown NSW 2200",-33.917865,151.034687,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Barangaroo Wharf,Sydney - City and Inner South,"Wulugul Walk, Barangaroo NSW 2000",-33.864377,151.200591,wheelchair_access,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bathurst Station,Outer,"Havannah St, Bathurst NSW 2795",-33.425627,149.583216,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Belmore Station,Sydney - Inner South West,"Burwood Rd, Belmore NSW 2192",-33.917218,151.088733,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Beresfield Station,Outer,"Addison St, Beresfield NSW 2322",-32.798946,151.657863,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Berowra Station,Sydney - North Sydney and Hornsby,"Pacific Hwy, Berowra NSW 2081",-33.623657,151.152971,wheelchair_access,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Berry Station,Outer,"Station Rd, Berry NSW 2535",-34.780333,150.696966,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Beverly Hills Station,Sydney - Inner South West,"Morgan St, Beverly Hills NSW 2209",-33.948849,151.081692,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Blacktown Station,Sydney - Blacktown,"Main St, Blacktown NSW 2148",-33.768229,150.907511,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Blaxland Station,Outer,"Station St, Blaxland NSW 2774",-33.743577,150.609596,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Blayney Station,Outer,"Railway Lane, Blayney NSW 2799",-33.52704,149.254516,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Boggabri Station,Outer,"Oakham St, Boggabri NSW 2382",-30.703834,150.039827,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Bomaderry Station,Outer,"Meroo St, Bomaderry NSW 2541",-34.853777,150.609809,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Bondi Junction Station,Sydney - Eastern Suburbs,"Grafton St, Bondi Junction NSW 2022",-33.891202,151.248384,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Bowral Station,Outer,"Station St, Bowral NSW 2576",-34.478123,150.416659,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
Bridge Street Light Rail,Sydney - City and Inner South,"George St, Sydney NSW 2000",-33.864128,151.207465,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Broken Hill Station,Outer,"Crystal St, Broken Hill NSW 2880",-31.959275,141.466665,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Bulli Station,Outer,"Railway St, Bulli NSW 2516",-34.334481,150.914744,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Bungendore Station,Outer,"Majara St, Bungendore NSW 2621",-35.255778,149.446409,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Burwood Station,Sydney - Inner West,"Railway Pde, Burwood NSW 2134",-33.877315,151.104762,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Cabarita Wharf,Sydney - Inner West,"Cabarita Rd, Cabarita NSW 2137",-33.840963,151.116485,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Cabramatta Station,Sydney - South West,"Railway Pde, Cabramatta NSW 2166",-33.894867,150.938821,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Campbelltown Station,Sydney - Outer South West,"Hurley St, Campbelltown NSW 2560",-34.063835,150.813929,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Campsie Station,Sydney - Inner South West,"Beamish St, Campsie NSW 2194",-33.910481,151.102631,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Canberra Station,Outer,"Burke Cres, Kingston ACT 2604",-35.319272,149.149396,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Capitol Square Light Rail,Sydney - City and Inner South,"Hay St, Haymarket NSW 2000",-33.879754,151.205656,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Cardiff Station,Outer,"Main Rd, Cardiff NSW 2285",-32.941824,151.66298,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Caringbah Station,Sydney - Sutherland,"The Kingsway, Caringbah NSW 2229",-34.04161,151.122748,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Carlton Station,Sydney - Inner South West,"Railway Pde, Carlton NSW 2218",-33.968266,151.124337,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Casino Station,Outer,"Canterbury St, Casino NSW 2470",-28.860663,153.038275,wheelchair_access,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Casula Station,Sydney - South West,"Rushton Pl, Casula NSW 2170",-33.949818,150.911946,wheelchair_access,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Central Station,Sydney - City and Inner South,"Eddy Ave, Haymarket NSW 2000",-33.883882,151.205829,wheelchair_access,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Chatswood Station,Sydney - North Sydney and Hornsby,"Cnr Railway St & Victoria Ave, Chatswood NSW 2067",-33.797134,151.180821,wheelchair_access,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Chinatown Light Rail,Sydney - City and Inner South,"George St, Haymarket NSW 2000",-33.878579,151.205567,wheelchair_access,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Chiswick Wharf,Sydney - Inner West,"Bortfield Dr, Chiswick NSW 2046",-33.845549,151.141781,wheelchair_access,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Circular Quay Station,Sydney - City and Inner South,"Alfred St, Sydney NSW 2000",-33.861324,151.21039,wheelchair_access,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Civic Light Rail,Outer,"Hunter St, Newcastle NSW 2300",-32.927024,151.771687,wheelchair_access,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
