"","sa4","sa3","design","number","total_dwellings_SA4","total_dwellings_SA3"
"1","Parramatta","Merrylands - Guildford","Basic",31,265,129
"2","Parramatta","Merrylands - Guildford","Improved Liveability",45,265,129
"3","Parramatta","Merrylands - Guildford","High physical support",30,265,129
"4","Parramatta","Merrylands - Guildford","Robust",1,265,129
"5","Parramatta","Merrylands - Guildford","Fully Accessible",22,265,129
"6","Parramatta","Parramatta","Basic",23,265,70
"7","Parramatta","Parramatta","Improved Liveability",22,265,70
"8","Parramatta","Parramatta","High physical support",15,265,70
"9","Parramatta","Parramatta","Robust",0,265,70
"10","Parramatta","Parramatta","Fully Accessible",10,265,70
"11","Blacktown","Blacktown - North","Basic",27,112,44
"12","Blacktown","Blacktown - North","Improved Liveability",3,112,44
"13","Blacktown","Blacktown - North","High physical support",2,112,44
"14","Blacktown","Blacktown - North","Robust",0,112,44
"15","Blacktown","Blacktown - North","Fully Accessible",12,112,44
"16","Blacktown","Blacktown","Basic",27,112,37
"17","Blacktown","Blacktown","Improved Liveability",6,112,37
"18","Blacktown","Blacktown","High physical support",2,112,37
"19","Blacktown","Blacktown","Robust",0,112,37
"20","Blacktown","Blacktown","Fully Accessible",2,112,37
"21","Parramatta","Carlingford","Basic",11,265,34
"22","Parramatta","Carlingford","Improved Liveability",17,265,34
"23","Parramatta","Carlingford","High physical support",0,265,34
"24","Parramatta","Carlingford","Robust",0,265,34
"25","Parramatta","Carlingford","Fully Accessible",6,265,34
"26","Parramatta","Auburn","Basic",11,265,32
"27","Parramatta","Auburn","Improved Liveability",1,265,32
"28","Parramatta","Auburn","High physical support",10,265,32
"29","Parramatta","Auburn","Robust",0,265,32
"30","Parramatta","Auburn","Fully Accessible",10,265,32
"31","Blacktown","Mount Druitt","Basic",7,112,31
"32","Blacktown","Mount Druitt","Improved Liveability",21,112,31
"33","Blacktown","Mount Druitt","High physical support",2,112,31
"34","Blacktown","Mount Druitt","Robust",1,112,31
"35","Blacktown","Mount Druitt","Fully Accessible",0,112,31
