SA2_NAME_2016,prop_sa2
Acacia Gardens,0.020524515393386546
Auburn - Central,0.03610254746065228
Auburn - North,0.02830406654343808
Auburn - South,0.03947832217130772
Berala,0.026547257316488087
Bidwill - Hebersham - Emerton,0.055873180873180876
Blacktown (East) - Kings Park,0.026638115631691647
Blacktown (North) - Marayong,0.03874725645787608
Blacktown (South),0.031223423642327785
Blacktown (West),0.029995342338146252
Carlingford,0.018133544232290136
Chester Hill - Sefton,0.04615256910434133
Doonside - Woodcroft,0.04035357417371253
Ermington - Rydalmere,0.0334771714922049
Fairfield - East,0.05461056401074306
Glendenning - Dean Park,0.026445698166431594
Glenwood,0.019010043041606885
Granville - Clyde,0.03480325644504749
Greystanes - Pemulwuy,0.025903577741208023
Guildford - South Granville,0.06047024246877296
Guildford West - Merrylands West,0.044442817396397716
Hassall Grove - Plumpton,0.03029464656245677
Homebush Bay - Silverwater,0.008347357791989229
Lalor Park - Kings Langley,0.03443877551020408
Lethbridge Park - Tregear,0.05385982536125493
Lidcombe,0.022881018702745722
Merrylands - Holroyd,0.03908153216192401
Mount Druitt - Whalan,0.046836651213526044
North Parramatta,0.03219253970208051
North Rocks,0.01828381466860586
Northmead,0.018051326663766853
Oatlands - Dundas Valley,0.030665669409124907
Parklea - Kellyville Ridge,0.018781911013858496
Parramatta - Rosehill,0.014150734152508539
Pendle Hill - Girraween,0.028751668082008977
Prospect Reservoir,0
Quakers Hill,0.02167300380228137
Regents Park,0.034492753623188405
Riverstone - Marsden Park,0.025493562231759657
Rookwood Cemetery,0
Rooty Hill - Minchinbury,0.02952467369302715
Seven Hills - Toongabbie,0.025957740297197315
Smithfield Industrial,0
Toongabbie - Constitution Hill,0.026552462526766595
Total,0.031167718066422514
Wentworthville - Westmead,0.030487234639483773
Winston Hills,0.021247113163972285
Yennora Industrial,0
