SA2_NAME_2016,prop_sa2,n
Regents Park,0.103611604,1
North Rocks,0.102691038,1
Oatlands - Dundas Valley,0.101753991,1
Carlingford,0.100040206,1
Chester Hill - Sefton,0.098965386,1
Lalor Park - Kings Langley,0.097611964,1
Toongabbie - Constitution Hill,0.097374179,1
Greystanes - Pemulwuy,0.096932375,1
Mount Druitt - Whalan,0.096031012,1
Auburn - South,0.094968776,1
Acacia Gardens,0.09483667,1
Guildford West - Merrylands West,0.094151144,1
Doonside - Woodcroft,0.093758324,1
Winston Hills,0.093651383,1
Blacktown (West),0.093537204,1
Fairfield - East,0.093141678,1
Ermington - Rydalmere,0.092890818,1
Blacktown (North) - Marayong,0.092376831,1
Merrylands - Holroyd,0.092330943,1
Guildford - South Granville,0.091833325,1
Bidwill - Hebersham - Emerton,0.091545095,1
Seven Hills - Toongabbie,0.091220736,1
Berala,0.091144077,1
Lethbridge Park - Tregear,0.08756339,1
Total,0.087052744,1
Pendle Hill - Girraween,0.086980221,1
Blacktown (South),0.086572008,1
Wentworthville - Westmead,0.086415796,1
Granville - Clyde,0.085405665,1
Rooty Hill - Minchinbury,0.08519289,1
Lidcombe,0.084850911,1
Glenwood,0.083705357,1
Riverstone - Marsden Park,0.082741087,1
Auburn - Central,0.082154294,1
Hassall Grove - Plumpton,0.080588207,1
Quakers Hill,0.079189366,1
Blacktown (East) - Kings Park,0.078723404,1
Prospect Reservoir,0.076923077,1
Glendenning - Dean Park,0.075293273,1
Northmead,0.075209734,1
North Parramatta,0.074937028,1
Parklea - Kellyville Ridge,0.070730587,1
Auburn - North,0.067196468,1
Parramatta - Rosehill,0.062305509,1
Homebush Bay - Silverwater,0.061228847,1
