SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_viet,area_diff
Cabramatta - Lansvale,24708,8019,1202,9221,0.3731989638983325,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.3498273042876333
Canley Vale - Canley Heights,20819,6373,1028,7401,0.35549257889427927,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.33212091928358006
Cabramatta West - Mount Pritchard,17188,4099,548,4647,0.270363043984175,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.2469913843734758
Bonnyrigg Heights - Bonnyrigg,15980,3339,507,3846,0.2406758448060075,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.2173041851953083
Bankstown - South,15993,3470,300,3770,0.2357281310573376,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.21235647144663838
St Johns Park - Wakeley,10866,1995,339,2334,0.21479845389287686,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.19142679428217765
Fairfield - East,15514,2493,241,2734,0.1762279231661725,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.1528562635554733
Fairfield - West,19088,2785,420,3205,0.16790653813914502,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.14453487852844582
Yagoona - Birrong,20706,3181,284,3465,0.16734279918864098,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.14397113957794178
Bankstown - North,16237,2052,207,2259,0.13912668596415595,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.11575502635345675
