mode_travel,greater_sydney,sa4,prop
Public Transport,0.108980389214047,Blacktown,0.0900790554565931
Public Transport,0.108980389214047,Parramatta,0.11001982600395628
Vehicle,0.2758634056788816,Blacktown,0.3035523429564091
Vehicle,0.2758634056788816,Parramatta,0.2557955936761961
Active Transport,0.022407440498277562,Blacktown,0.0059563943645384015
Active Transport,0.022407440498277562,Parramatta,0.013507998421056154
Other Mode,0.0024407242321586044,Blacktown,0.0019226522590427958
Other Mode,0.0024407242321586044,Parramatta,0.002216765796686448
Worked at home or Did not go to work,0.05708380096260804,Blacktown,0.0433170904058769
Worked at home or Did not go to work,0.05708380096260804,Parramatta,0.04069794670395472
Mode not stated,0.0043503515148700924,Blacktown,0.004696217998733935
Mode not stated,0.0043503515148700924,Parramatta,0.004732371248056985
