SA2_NAME16,total_pop,ancestry_1,ancestry_2,total_ancestry,pop_prop,sa3_name_2016,sa4_name_2016,focus_area,greater_syd_pop,greater_syd_average_viet,area_diff
Cabramatta - Lansvale,24708,8019,1202,9221,0.3731989638983325,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.3498273042876333
Canley Vale - Canley Heights,20819,6373,1028,7401,0.35549257889427927,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.33212091928358006
Cabramatta West - Mount Pritchard,17188,4099,548,4647,0.270363043984175,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.2469913843734758
Bonnyrigg Heights - Bonnyrigg,15980,3339,507,3846,0.2406758448060075,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.2173041851953083
Bankstown - South,15993,3470,300,3770,0.2357281310573376,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.21235647144663838
St Johns Park - Wakeley,10866,1995,339,2334,0.21479845389287686,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.19142679428217765
Fairfield - East,15514,2493,241,2734,0.1762279231661725,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.1528562635554733
Fairfield - West,19088,2785,420,3205,0.16790653813914502,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.14453487852844582
Yagoona - Birrong,20706,3181,284,3465,0.16734279918864098,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.14397113957794178
Bankstown - North,16237,2052,207,2259,0.13912668596415595,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.11575502635345675
Green Valley,12514,1528,200,1728,0.13808534441425604,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.11471368480355684
Condell Park,11305,1422,126,1548,0.13693056169836357,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.11355890208766437
Chester Hill - Sefton,18461,2182,286,2468,0.13368723254428255,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.11031557293358335
Chullora,900,91,23,114,0.12666666666666668,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.10329500705596747
Greenfield Park - Prairiewood,8336,898,132,1030,0.12356046065259117,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.10018880104189196
Edensor Park,9772,1027,174,1201,0.12290216946377405,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.09953050985307485
Ashcroft - Busby - Miller,17335,1667,224,1891,0.10908566483991924,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.08571400522922004
Fairfield,17704,1680,198,1878,0.10607772254857659,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.08270606293787738
Bass Hill - Georges Hall,21834,1794,207,2001,0.0916460566089585,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.0682743969982593
Cecil Hills,7015,472,90,562,0.08011404133998574,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.056742381729286535
Hinchinbrook,12295,831,141,972,0.07905652704351362,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.055684867432814415
Regents Park,5067,304,80,384,0.07578448786264061,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.0524128282519414
Marrickville,26540,1770,213,1983,0.07471740768651093,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,0.05134574807581172
Warwick Farm,5798,362,51,413,0.0712314591238358,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.04785979951313659
Punchbowl,20753,1303,159,1462,0.07044764612345203,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.04707598651275282
Smithfield - Wetherill Park,18045,1126,145,1271,0.07043502355223054,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.04706336394153133
Revesby,16223,903,83,986,0.060777907908524935,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.037406248297825725
Chipping Norton - Moorebank,18748,970,123,1093,0.058299551952208234,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.034927892341509024
Berala,8898,351,143,494,0.05551809395369746,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.03214643434299825
Lurnea - Cartwright,11686,533,63,596,0.05100119801471847,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.027629538404019258
Lidcombe,19988,768,208,976,0.04882929757854713,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.025457637967847918
Wiley Park,10217,459,36,495,0.048448663991386906,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.025077004380687697
Hoxton Park - Carnes Hill - Horningsea Park,11588,441,102,543,0.0468588194684156,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.02348715985771639
Bossley Park - Abbotsbury,18834,746,134,880,0.04672400976956568,Fairfield,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.02335235015886647
Canterbury (South) - Campsie,30620,1182,193,1375,0.044905290659699545,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.021533631049000336
Sydenham - Tempe - St Peters,7840,281,57,338,0.04311224489795919,Marrickville - Sydenham - Petersham,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,0.019740585287259978
Lakemba,17019,623,96,719,0.04224690052294494,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.018875240912245732
Padstow,16475,562,91,653,0.03963581183611533,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.01626415222541612
Liverpool,27172,887,124,1011,0.03720741940232592,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.013835759791626712
West Hoxton - Middleton Grange,15187,386,147,533,0.03509580562323039,Bringelly - Green Valley,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.011724146012531182
Belmore - Belfield,19033,589,69,658,0.03457153365207797,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.01119987404137876
Panania - Milperra - Picnic Point,25788,704,146,850,0.03296106716302156,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.009589407552322349
Kingsgrove (North) - Earlwood,23679,618,113,731,0.03087123611639005,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.007499576505690841
Auburn - South,8487,181,80,261,0.030752916224814422,Auburn,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.007381256614115213
Greenacre - Mount Lewis,25964,694,100,794,0.0305808041904175,Bankstown,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.007209144579718291
Prestons - Edmondson Park,17580,445,87,532,0.03026166097838453,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.0068900013676853195
Casula,15661,423,47,470,0.030010854990102802,Liverpool,Sydney - South West,Greater Sydney,4495958,0.02337165961069921,0.006639195379403592
Strathfield,25016,598,125,723,0.028901503038055644,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,0.0055298434273564345
Granville - Clyde,20830,489,62,551,0.026452232357177148,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,0.0030805727464779387
Riverwood,11277,268,30,298,0.026425467766249888,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.003053808155550678
Dulwich Hill - Lewisham,16809,371,63,434,0.0258195014575525,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,0.0024478418468532916
Narwee - Beverly Hills,13781,293,62,355,0.02576010449169146,Hurstville,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,0.0023884448809922514
Strathfield South,3542,52,32,84,0.023715415019762844,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,3.437554090636348e-4
Burwood - Croydon,24653,438,129,567,0.022999229302721778,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-3.7243030797743173e-4
Guildford - South Granville,20951,400,77,477,0.022767409670182807,Merrylands - Guildford,Sydney - Parramatta,Greater Sydney,4495958,0.02337165961069921,-6.04249940516402e-4
Roselands,13739,254,47,301,0.021908435839580756,Canterbury,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.0014632237711184534
Canterbury (North) - Ashbury,10449,177,40,217,0.020767537563403198,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney,4495958,0.02337165961069921,-0.0026041220472960112
Putney,4143,63,22,85,0.020516533912623702,Ryde - Hunters Hill,Sydney - Ryde,Greater Sydney,4495958,0.02337165961069921,-0.002855125698075507
Glebe - Forest Lodge,19614,342,54,396,0.02018966044661976,Sydney Inner City,Sydney - City and Inner South,Greater Sydney,4495958,0.02337165961069921,-0.0031819991640794493
Kingsgrove (South) - Bardwell Park,12615,223,31,254,0.020134760206103844,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.0032368994045953656
Rockdale - Banksia,19960,317,46,363,0.01818637274549098,Kogarah - Rockdale,Sydney - Inner South West,Greater Sydney,4495958,0.02337165961069921,-0.005185286865208229
