num,honour,value
1,ADK,1
2,AC,1
3,AC,1
4,AO,1
5,AO,1
6,AO,1
7,AO,1
8,AO,1
9,AO,1
10,AO,1
11,AM,1
12,AM,1
13,AM,1
14,AM,1
15,AM,1
16,AM,1
17,AM,1
18,AM,1
19,AM,1
20,AM,1
21,AM,1
22,AM,1
23,AM,1
24,AM,1
25,AM,1
26,AM,1
27,AM,1
28,AM,1
29,AM,1
30,AM,1
31,AM,1
32,AM,1
33,AM,1
34,AM,1
35,AM,1
36,AM,1
37,AM,1
38,AM,1
39,OAM,1
40,OAM,1
41,OAM,1
42,OAM,1
43,OAM,1
44,OAM,1
45,OAM,1
46,OAM,1
47,OAM,1
48,OAM,1
49,OAM,1
50,OAM,1
51,OAM,1
52,OAM,1
53,OAM,1
54,OAM,1
55,OAM,1
56,OAM,1
57,OAM,1
58,OAM,1
59,OAM,1
60,OAM,1
61,OAM,1
62,OAM,1
63,OAM,1
64,OAM,1
65,OAM,1
66,OAM,1
67,OAM,1
68,OAM,1
69,OAM,1
70,OAM,1
71,OAM,1
72,OAM,1
73,OAM,1
74,OAM,1
75,OAM,1
76,OAM,1
77,OAM,1
78,OAM,1
79,OAM,1
80,OAM,1
81,OAM,1
82,OAM,1
83,OAM,1
84,OAM,1
85,OAM,1
86,OAM,1
87,OAM,1
88,OAM,1
89,OAM,1
90,OAM,1
91,OAM,1
92,OAM,1
93,OAM,1
94,OAM,1
95,OAM,1
96,OAM,1
97,OAM,1
98,OAM,1
99,OAM,1
100,OAM,1
