pos,date_time,Time,country,annotation
0, 2/11/2011 2:00:00 PM,16:00,Both,Extra padding
0, 2/11/2011 4:00:00 PM,16:00,Both,Mubarak Resigns
0, 2/11/2011 4:04:00 PM,16:04,Egypt,(Article) Lihaas makes update to reflect Mubarak's resignation in body of the article
0, 2/11/2011 5:31:00 PM,17:31,Egypt,(Talk) J4V4 initiates move discussion
0, 2/11/2011 6:44:00 PM,18:44,Egypt,(Article) Nev1 protects page (now only accessible by auto-confirmed users) because of 'persistent vandalism'
0, 2/11/2011 8:15:00 PM,20:15,Egypt,(Article) Tariqabjotu moves page to Egyptian revolution
0, 2/12/2011 1:08:00 AM,1:08,Egypt,(Article) Lihaas stops opposing changes and makes his last edit
0, 2/12/2011 9:41:00 PM,21:41,Egypt,(Talk) Labattblueboy announces that the result of the move request was a move by Tariqabjotou
0, 2/11/2011 5:55:00 PM,17:55,Tunisia,(Article) The Egyptian Liberal moves Tunisian protests to revolution (but is reverted)
0, 2/11/2011 10:54:00 PM,22:54,Tunisia,(Article) Knowledgekid8 moves Tunisian protests to revolution
0, 2/12/2011 3:57:00 PM,15:57,Tunisia,(Talk) Lihaas stops editing the article
0, 2/12/2011 10:31:00 PM,22:31,Tunisia,(Talk) Knowledgekid87 announces the result of page move discussion to revolution
0, 2/12/2011 00:00:01 AM,00:00,Both,February 12 2011
0, 2/12/2011 11:45:00 PM,16:00,Both,Extra padding
