year_of_arrival,greater_sydney,sa4,prop
Arrived 1900-1945,6.413780465457211e-4,Blacktown,1.6487803441828967e-4
Arrived 1900-1945,6.413780465457211e-4,Parramatta,3.657416080142015e-4
Arrived 1946-1955,0.008293552969037237,Blacktown,0.006648117887794609
Arrived 1946-1955,0.008293552969037237,Parramatta,0.0064606916976654985
Arrived 1956-1965,0.017242994800152903,Blacktown,0.012036096512535148
Arrived 1956-1965,0.017242994800152903,Parramatta,0.012223352155645356
Arrived 1966-1975,0.032142492891773365,Blacktown,0.026448203271062433
Arrived 1966-1975,0.032142492891773365,Parramatta,0.029959590012577943
Arrived 1976-1985,0.035385867460698495,Blacktown,0.028253028897819783
Arrived 1976-1985,0.035385867460698495,Parramatta,0.039943889885014405
Arrived 1986-1995,0.05996511599945937,Blacktown,0.07686260654506911
Arrived 1986-1995,0.05996511599945937,Parramatta,0.07639316330808824
Arrived 1996-2005,0.0695795677767026,Blacktown,0.09987781359949359
Arrived 1996-2005,0.0695795677767026,Parramatta,0.10104950000446027
Arrived 2006-2015,0.12173123150389263,Blacktown,0.13630997070470638
Arrived 2006-2015,0.12173123150389263,Parramatta,0.20122478836049634
Arrived 1 Jan 2016 - 9 August 2016,0.010359271208800685,Blacktown,0.007669772851065083
Arrived 1 Jan 2016 - 9 August 2016,0.010359271208800685,Parramatta,0.01617960589111605
