year,Women,Men
1975,21,86
1976,34,175
1977,43,168
1978,52,236
1979,76,284
1980,115,368
1981,103,394
1982,102,427
1983,82,360
1984,112,432
1985,139,509
1986,164,535
1987,158,593
1988,178,624
1989,215,668
1990,234,622
1991,214,641
1992,250,644
1993,261,620
1994,260,578
1995,210,546
1996,222,486
1997,244,548
1998,247,603
1999,267,617
2000,264,654
2001,329,693
2002,356,763
2003,457,895
2004,361,771
2005,347,811
2006,445,941
2007,308,848
2008,293,682
2009,339,806
2010,291,696
2011,278,597
2012,301,738
2013,362,858
2014,396,913
2015,383,805
2016,378,837
2017,463,990
2018,509,970
2019,821,1348
2020,649,948
